timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600074181559,2880,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-109,text,false,,3810,123,1000,1000,https://www.firstbench.app/,752,0,453
1600074181559,752,Landing page-0,301,Moved Permanently,JMeter Users 1-109,text,true,,428,123,1000,1000,http://www.firstbench.app/,752,0,453
1600074182313,2126,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-109,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2126
1600074181667,2773,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-255,text,false,,3810,123,1000,1000,https://www.firstbench.app/,743,0,403
1600074181667,743,Landing page-0,301,Moved Permanently,JMeter Users 1-255,text,true,,428,123,1000,1000,http://www.firstbench.app/,743,0,403
1600074182411,2029,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-255,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2029
1600074184440,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-109,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181614,2828,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-194,text,false,,3810,123,1000,1000,https://www.firstbench.app/,688,0,393
1600074181614,688,Landing page-0,301,Moved Permanently,JMeter Users 1-194,text,true,,428,123,1000,1000,http://www.firstbench.app/,688,0,393
1600074182305,2137,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-194,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2137
1600074184443,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-194,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181622,2817,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-202,text,false,,3810,123,1000,1000,https://www.firstbench.app/,677,0,386
1600074181622,678,Landing page-0,301,Moved Permanently,JMeter Users 1-202,text,true,,428,123,1000,1000,http://www.firstbench.app/,677,0,386
1600074182305,2134,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-202,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2134
1600074184444,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-202,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
